供应商ID,供应商名称,品类,等级,联系人,联系电话,合同编号,合同起始,合同到期,付款条款,服务SLA,风险等级,备注
SUP-IT-001,上海云栈数码科技有限公司,电脑及IT终端,A,赵敏,13800001001,KJ-CG-2025-IT001,2025-09-01,2026-08-31,月结30天,常规设备3个工作日交付;紧急设备24小时响应,低,主力电脑供应商
SUP-IT-002,京东企业购华东服务组,IT配件及显示器,A,企业客服,400-000-0001,KJ-CG-2025-JD001,2025-10-01,2026-09-30,月结30天,现货48小时内送达,低,标准品优先
SUP-OA-001,上海印管家办公设备有限公司,打印机租赁与维保,A,刘强,13800001002,KJ-CG-2025-PRT001,2025-09-15,2026-09-14,月结15天,故障4小时响应;重大故障次日备机,中,需关注抄表准确性
SUP-OA-002,晨光科力普企业服务,办公用品与耗材,A,客户经理,400-000-0002,KJ-CG-2026-OA001,2026-01-01,2026-12-31,月结30天,下单后48小时内送达,低,办公用品集采
SUP-FUR-001,上海坐立方办公家具有限公司,办公家具,B,周磊,13800001003,KJ-CG-2025-FUR001,2025-10-01,2026-09-30,验收后15天,常规家具7个工作日交付,中,大批量采购需三家比价
SUP-MTG-001,上海会联智能科技有限公司,会议平板及会议室集成,A,陈宁,13800001004,KJ-CG-2026-MTG001,2026-03-01,2027-02-28,验收后30天,故障8小时响应,低,昆仑会议室设备商
SUP-MTG-002,罗技企业渠道华东,视频会议设备,B,企业客服,400-000-0003,KJ-CG-2026-LOGI001,2026-04-01,2027-03-31,验收后15天,保内换修5个工作日,低,标准硬件供应
SUP-MTG-003,上海映界投影维修中心,投影仪维修,C,王师傅,13800001005,KJ-WX-2025-PROJ001,2025-06-01,2026-05-31,单次结算,上门48小时内,中,合同已到期需续签或替换
SUP-NET-001,上海同维网络工程有限公司,网络设备与弱电,A,黄工,13800001006,KJ-CG-2025-NET001,2025-08-01,2026-07-31,月结30天,P1故障2小时响应;P2故障1个工作日,中,合同30天内到期需预警
SUP-SEC-001,上海安澜智能安防有限公司,门禁与监控,A,吴越,13800001007,KJ-CG-2025-SEC001,2025-07-01,2026-06-30,月结30天,安防故障4小时响应,高,即将到期;需复核续约
SUP-TRV-001,携程商旅企业服务,差旅平台,A,企业客户成功,400-000-0004,KJ-CG-2026-TRV001,2026-01-01,2026-12-31,月结30天,客服7x24小时,低,机酒火车票主平台
SUP-CAR-001,滴滴企业版,企业用车,A,企业客服,400-000-0005,KJ-CG-2026-CAR001,2026-01-01,2026-12-31,月结30天,客服7x24小时,低,市内交通
SUP-CLEAN-001,上海净澄物业服务有限公司,保洁与绿植,B,钱芳,13800001008,KJ-CG-2025-CLN001,2025-11-01,2026-10-31,月结15天,工作日每日保洁;绿植每周养护,中,满意度需月度评分
SUP-EVT-001,上海拾光活动策划有限公司,活动与团建,B,顾南,13800001009,KJ-CG-2026-EVT001,2026-02-01,2027-01-31,项目结算,活动前3天完成物料确认,中,年会需另行比价
SUP-EXP-001,顺丰企业月结,快递物流,A,企业客服,95338,KJ-CG-2026-SF001,2026-01-01,2026-12-31,月结30天,同城当日/跨城次日,低,重要文件默认顺丰
SUP-HR-001,上海入职无忧服务有限公司,入职物料与工牌制作,B,林可,13800001010,KJ-CG-2026-HR001,2026-03-01,2027-02-28,月结30天,工牌3个工作日交付,低,HR入职包协同
SUP-PANTRY-001,每日优鲜企业团购,茶水间补给,B,企业客服,400-000-0006,KJ-CG-2026-PAN001,2026-01-01,2026-12-31,月结15天,次日达,中,价格波动需月度复核
SUP-LAW-001,上海衡岳律师事务所,合同与合规咨询,B,唐律师,13800001011,KJ-CG-2026-LAW001,2026-01-01,2026-12-31,按项目结算,2个工作日内反馈普通合同意见,低,行政只登记不判断法律结论
SUP-PARK-001,张江人工智能岛物业服务中心,物业与停车,A,物业前台,021-00000001,KJ-CG-2025-PARK001,2025-07-01,2027-06-30,月结30天,P0半小时响应;P1当天响应,低,主办公点物业
SUP-DEC-001,上海筑境装饰工程有限公司,小型装修与工位改造,C,马工,13800001012,KJ-CG-2025-DEC001,2025-12-01,2026-11-30,验收后30天,现场勘查2个工作日,高,历史延期一次;大额项目需重新比价
