budget_year,period,department,budget_item,budget_owner,planned_amount,approval_status,source,actual_amount,variance_amount,variance_pct,variance_band,variance_driver
2026,2026-01,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,398666,-34667,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,381333,-52000,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,468000,34667,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,446333,13000,3.0,green,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,研发部,人员成本,研发部负责人,433333,locked,synthetic_training_seed_v1,485333,52000,12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,75134,-6533,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,71867,-9800,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-03,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,88200,6533,8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-04,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,96367,14700,18.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-05,研发部,云资源与工具,研发部负责人,81667,locked,synthetic_training_seed_v1,96367,14700,18.0,red,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-01,销售部,人员成本,销售部负责人,300000,locked,synthetic_training_seed_v1,276000,-24000,-8.0,yellow,训练样例：业务量/价格/效率/一次性事项待归因
2026,2026-02,销售部,人员成本,销售部负责人,300000,locked,synthetic_training_seed_v1,264000,-36000,-12.0,red,训练样例：业务量/价格/效率/一次性事项待归因
