data_type,segment,metric,value,unit,period,source_level,notes
market,AI数据分析工具,TAM_companies,120000,companies,2026Q2,simulated,"目标地区内具备数据分析需求的企业总数"
market,AI数据分析工具,SAM_companies,18000,companies,2026Q2,simulated,"中型企业且具备云软件采购能力"
market,AI数据分析工具,baseline_ARPA,60000,CNY/year,2026Q2,simulated,"年度平均合同金额"
market,AI数据分析工具,reachable_share_12m,0.018,ratio,2026Q2,assumption,"12个月内可触达并有机会成交的 SAM 占比"
segment,制造业数据看板,market_size,4.8,billion_CNY,2026Q2,simulated,"细分赛道年度可服务市场"
segment,制造业数据看板,growth_rate,0.32,ratio,2026Q2,simulated,"预计年增长率"
segment,制造业数据看板,profit_score,4,score_1_5,2026Q2,simulated,"毛利和服务成本综合分"
segment,制造业数据看板,competition_density,3,score_1_5,2026Q2,simulated,"5 表示竞争最拥挤"
segment,制造业数据看板,capability_fit,5,score_1_5,2026Q2,simulated,"当前产品和销售能力匹配度"
segment,销售预测助手,market_size,3.6,billion_CNY,2026Q2,simulated,"细分赛道年度可服务市场"
segment,销售预测助手,growth_rate,0.28,ratio,2026Q2,simulated,"预计年增长率"
segment,销售预测助手,profit_score,5,score_1_5,2026Q2,simulated,"毛利和服务成本综合分"
segment,销售预测助手,competition_density,4,score_1_5,2026Q2,simulated,"5 表示竞争最拥挤"
segment,销售预测助手,capability_fit,4,score_1_5,2026Q2,simulated,"当前产品和销售能力匹配度"
segment,客服质检分析,market_size,2.2,billion_CNY,2026Q2,simulated,"细分赛道年度可服务市场"
segment,客服质检分析,growth_rate,0.24,ratio,2026Q2,simulated,"预计年增长率"
segment,客服质检分析,profit_score,3,score_1_5,2026Q2,simulated,"毛利和服务成本综合分"
segment,客服质检分析,competition_density,2,score_1_5,2026Q2,simulated,"5 表示竞争最拥挤"
segment,客服质检分析,capability_fit,3,score_1_5,2026Q2,simulated,"当前产品和销售能力匹配度"
segment,财务异常洞察,market_size,2.9,billion_CNY,2026Q2,simulated,"细分赛道年度可服务市场"
segment,财务异常洞察,growth_rate,0.22,ratio,2026Q2,simulated,"预计年增长率"
segment,财务异常洞察,profit_score,5,score_1_5,2026Q2,simulated,"毛利和服务成本综合分"
segment,财务异常洞察,competition_density,3,score_1_5,2026Q2,simulated,"5 表示竞争最拥挤"
segment,财务异常洞察,capability_fit,3,score_1_5,2026Q2,simulated,"当前产品和销售能力匹配度"
channel,直销,leads,520,count,2026-05,simulated,"月度线索"
channel,直销,revenue,3600000,CNY,2026-05,simulated,"月收入"
channel,直销,gross_margin,0.72,ratio,2026-05,simulated,"毛利率"
channel,直销,CAC,18000,CNY/customer,2026-05,simulated,"获客成本"
channel,直销,payback_days,42,days,2026-05,simulated,"回款周期"
channel,代理,leads,1100,count,2026-05,simulated,"月度线索"
channel,代理,revenue,4100000,CNY,2026-05,simulated,"月收入"
channel,代理,gross_margin,0.44,ratio,2026-05,simulated,"毛利率"
channel,代理,CAC,9000,CNY/customer,2026-05,simulated,"获客成本"
channel,代理,payback_days,95,days,2026-05,simulated,"回款周期"
channel,内容获客,leads,1600,count,2026-05,simulated,"月度线索"
channel,内容获客,revenue,1800000,CNY,2026-05,simulated,"月收入"
channel,内容获客,gross_margin,0.68,ratio,2026-05,simulated,"毛利率"
channel,内容获客,CAC,4200,CNY/customer,2026-05,simulated,"获客成本"
channel,内容获客,payback_days,30,days,2026-05,simulated,"回款周期"
channel,生态合作,leads,680,count,2026-05,simulated,"月度线索"
channel,生态合作,revenue,2600000,CNY,2026-05,simulated,"月收入"
channel,生态合作,gross_margin,0.58,ratio,2026-05,simulated,"毛利率"
channel,生态合作,CAC,7500,CNY/customer,2026-05,simulated,"获客成本"
channel,生态合作,payback_days,60,days,2026-05,simulated,"回款周期"
user,高频高毛利,customers,320,count,2026-05,simulated,"RFM 高、毛利高、留存高"
user,高频高毛利,revenue_share,0.34,ratio,2026-05,simulated,"收入贡献"
user,高频高毛利,gross_profit_share,0.46,ratio,2026-05,simulated,"毛利贡献"
user,大单低留存,customers,90,count,2026-05,simulated,"金额高但复购低"
user,大单低留存,revenue_share,0.27,ratio,2026-05,simulated,"收入贡献"
user,大单低留存,gross_profit_share,0.16,ratio,2026-05,simulated,"毛利贡献"
user,成长试用,customers,760,count,2026-05,simulated,"活跃高、金额低、转化潜力高"
user,成长试用,revenue_share,0.18,ratio,2026-05,simulated,"收入贡献"
user,成长试用,gross_profit_share,0.22,ratio,2026-05,simulated,"毛利贡献"
user,沉默风险,customers,410,count,2026-05,simulated,"近 60 天低活跃"
user,沉默风险,revenue_share,0.21,ratio,2026-05,simulated,"收入贡献"
user,沉默风险,gross_profit_share,0.16,ratio,2026-05,simulated,"毛利贡献"
metric,客单价,AOV_current,52000,CNY,2026-05,simulated,"本月客单价"
metric,客单价,AOV_previous,69000,CNY,2026-04,simulated,"上月客单价"
metric,转化率,conversion_current,0.061,ratio,2026-05,simulated,"本月线索转化率"
metric,转化率,conversion_previous,0.074,ratio,2026-04,simulated,"上月线索转化率"
metric,渠道ROI,agent_ROI_current,1.4,ratio,2026-05,simulated,"代理渠道 ROI"
metric,渠道ROI,agent_ROI_previous,2.2,ratio,2026-04,simulated,"代理渠道 ROI"

