data_type,segment,metric,value,unit,period,source_level,notes
crm,manufacturing_icp,target_accounts,2400,accounts,2026Q2,semi_simulated,"中型制造企业 ICP 目标账户"
crm,manufacturing_icp,icp_fit_rate,0.62,ratio,2026Q2,semi_simulated,"符合预算、数据成熟度、采购意愿的比例"
crm,manufacturing_icp,reachable_rate,0.35,ratio,2026Q2,semi_simulated,"销售和市场可触达比例"
crm,manufacturing_icp,mql_to_sql,0.28,ratio,2026Q2,semi_simulated,"MQL 到 SQL"
crm,manufacturing_icp,sql_to_pilot,0.18,ratio,2026Q2,semi_simulated,"SQL 到试点"
crm,manufacturing_icp,pilot_to_paid,0.45,ratio,2026Q2,semi_simulated,"试点到付费"
crm,manufacturing_icp,arpa,72000,CNY/year,2026Q2,semi_simulated,"半真实校准 ARPA"
capacity,direct_sales,pilot_capacity_3m,20,customers,2026Q2,semi_simulated,"3 个月最多支持试点客户数"
capacity,direct_sales,paid_capacity_12m,72,customers,2026Q2,semi_simulated,"12 个月付费客户承接上限"
channel,direct_sales,revenue,3600000,CNY,2026-05,simulated,"Day 1 收入"
channel,direct_sales,gross_margin,0.72,ratio,2026-05,simulated,"Day 1 毛利率"
channel,direct_sales,discount_rate,0.08,ratio,2026-05,semi_simulated,"平均折扣"
channel,direct_sales,service_hours,420,hours,2026-05,semi_simulated,"交付与售后工时"
channel,direct_sales,hourly_cost,220,CNY/hour,2026-05,semi_simulated,"内部服务成本"
channel,direct_sales,payback_days,42,days,2026-05,simulated,"回款周期"
channel,agent,revenue,4100000,CNY,2026-05,simulated,"Day 1 收入"
channel,agent,gross_margin,0.44,ratio,2026-05,simulated,"Day 1 毛利率"
channel,agent,discount_rate,0.18,ratio,2026-05,semi_simulated,"平均折扣"
channel,agent,service_hours,760,hours,2026-05,semi_simulated,"交付与售后工时"
channel,agent,hourly_cost,220,CNY/hour,2026-05,semi_simulated,"内部服务成本"
channel,agent,payback_days,95,days,2026-05,simulated,"回款周期"
channel,content,revenue,1800000,CNY,2026-05,simulated,"Day 1 收入"
channel,content,gross_margin,0.68,ratio,2026-05,simulated,"Day 1 毛利率"
channel,content,discount_rate,0.05,ratio,2026-05,semi_simulated,"平均折扣"
channel,content,service_hours,260,hours,2026-05,semi_simulated,"交付与售后工时"
channel,content,hourly_cost,220,CNY/hour,2026-05,semi_simulated,"内部服务成本"
channel,content,payback_days,30,days,2026-05,simulated,"回款周期"
channel,ecosystem,revenue,2600000,CNY,2026-05,simulated,"Day 1 收入"
channel,ecosystem,gross_margin,0.58,ratio,2026-05,simulated,"Day 1 毛利率"
channel,ecosystem,discount_rate,0.12,ratio,2026-05,semi_simulated,"平均折扣"
channel,ecosystem,service_hours,390,hours,2026-05,semi_simulated,"交付与售后工时"
channel,ecosystem,hourly_cost,220,CNY/hour,2026-05,semi_simulated,"内部服务成本"
channel,ecosystem,payback_days,60,days,2026-05,simulated,"回款周期"
prediction,manufacturing_dashboard,pilot_target_4w,8,customers,2026-07,assumption,"4 周目标试点数"
prediction,direct_sales,paid_target_4w,3,customers,2026-07,assumption,"4 周直销付费数"
prediction,content,sql_conversion_target_4w,0.12,ratio,2026-07,assumption,"内容获客 SQL 转化率目标"
prediction,agent,roi_target_4w,1.7,ratio,2026-07,assumption,"代理 ROI 修复目标"
prediction,aov,aov_target_4w,56000,CNY,2026-07,assumption,"客单价 4 周目标"

